chunk_vid_id,chunk_vid_duration,chunk_vid_dimention,chunk_vid_definition,chunk_vid_caption,chunk_vid_licensedContent,chunk_vid_projection
3e_gvryr8r4,PT13M33S,2d,hd,FALSE,TRUE,rectangular
k7uhe91wGUE,PT5M36S,2d,hd,FALSE,TRUE,rectangular
m11BH_xsdSs,PT1M34S,2d,hd,TRUE,TRUE,rectangular
VMMyw-9oH6s,PT4M58S,2d,hd,FALSE,TRUE,rectangular
Iw8apHDAXhk,PT3M6S,2d,hd,FALSE,TRUE,rectangular
tranxI3uYT4,PT19M23S,2d,hd,FALSE,TRUE,rectangular
_LaMGYVnwYc,PT7M,2d,hd,FALSE,TRUE,rectangular
S-5IU_xdAIg,PT5H29M1S,2d,hd,FALSE,TRUE,rectangular
9swYq83jffs,PT8M58S,2d,hd,FALSE,TRUE,rectangular
n4DFdeoi234,PT31M44S,2d,hd,FALSE,TRUE,rectangular
#NAME?,PT12M11S,2d,hd,FALSE,TRUE,rectangular
aoERBs551uA,PT7M49S,2d,hd,FALSE,TRUE,rectangular
tQqEeepdD2U,PT3M11S,2d,hd,FALSE,TRUE,rectangular
7LgNSdeBIpE,PT3M6S,2d,hd,FALSE,FALSE,rectangular
rW8mZrEklZQ,PT1H3M18S,2d,hd,TRUE,TRUE,rectangular
oGeIaeZeG6Q,PT13M33S,2d,hd,FALSE,TRUE,rectangular
KU-GcoWD5_A,PT10M17S,2d,hd,FALSE,TRUE,rectangular
noel-0RkHt0,PT14M31S,2d,hd,FALSE,TRUE,rectangular
yVW2fTkYFJo,PT4M52S,2d,hd,FALSE,TRUE,rectangular
8x41Bobua44,PT12M57S,2d,hd,FALSE,TRUE,rectangular
Nt6sVqhG8Oo,PT1H19M2S,2d,hd,FALSE,TRUE,rectangular
c3CDsoRDdRA,PT2M54S,2d,hd,FALSE,TRUE,rectangular
9kF9xY74h-E,PT6M54S,2d,hd,FALSE,TRUE,rectangular
8-Cjsnq8kVU,PT2M10S,2d,hd,FALSE,TRUE,rectangular
XQI1b6VVb6g,PT21S,2d,sd,FALSE,FALSE,rectangular
sottGW1p5os,PT11M41S,2d,hd,TRUE,TRUE,rectangular
hBbtI0BH9wU,PT6M59S,2d,hd,FALSE,TRUE,rectangular
_HE4dvug1YU,PT3M15S,2d,hd,FALSE,TRUE,rectangular
PMFZl9WQL-E,PT48M35S,2d,hd,FALSE,TRUE,rectangular
cmoknv58jjE,PT14M15S,2d,hd,FALSE,TRUE,rectangular
I1iSrCtZb7w,PT3M56S,2d,hd,TRUE,TRUE,rectangular
n2K4II8N6r4,PT6M47S,2d,hd,TRUE,FALSE,rectangular
8hKbIhrb1WU,PT5M55S,2d,hd,TRUE,TRUE,rectangular
SfFKLEOOh2A,PT12M44S,2d,hd,FALSE,TRUE,rectangular
bg3hJuBtE-8,PT52S,2d,hd,FALSE,TRUE,rectangular
hpapqEeb36k,PT3M53S,2d,hd,TRUE,TRUE,rectangular
Rh7bFsjFQ1k,PT25M58S,2d,hd,FALSE,TRUE,rectangular
TWpt-ze_cYU,PT3M17S,2d,hd,FALSE,TRUE,rectangular
Ehke7aPI9l0,PT5M4S,2d,hd,FALSE,TRUE,rectangular
Gc_BnMrFhPc,PT1M31S,2d,hd,FALSE,TRUE,rectangular
5LI5VMbJVOc,PT4M2S,2d,hd,FALSE,TRUE,rectangular
jO5U167y9xU,PT4M1S,2d,hd,FALSE,TRUE,rectangular
MbSlZKzizxQ,PT11M46S,2d,hd,FALSE,TRUE,rectangular
b8IN0tY3fus,PT11M45S,2d,hd,TRUE,TRUE,rectangular
lTshJ-2GVKM,PT51S,2d,hd,FALSE,TRUE,rectangular
8WfHX9Q8S6w,PT22M46S,2d,hd,FALSE,TRUE,rectangular
UdcOGSOnEDM,PT45M40S,2d,hd,FALSE,TRUE,rectangular
xotnmcmktLw,PT55M30S,2d,hd,FALSE,FALSE,rectangular
7xQ6WkiNCvk,PT22M6S,2d,hd,FALSE,TRUE,rectangular
nFSMvRWLap8,PT34M32S,2d,hd,FALSE,TRUE,rectangular
ZhCrQ5AEhpg,PT12M21S,2d,hd,FALSE,TRUE,rectangular
zKueZxfJalA,PT2M30S,2d,hd,TRUE,TRUE,rectangular
hMxSJ8RENqw,PT13M55S,2d,hd,TRUE,TRUE,rectangular
YcvB3cEEdJ4,PT4M30S,2d,hd,FALSE,TRUE,rectangular
_BVAJ3PXZ1k,PT6M27S,2d,hd,TRUE,TRUE,rectangular
6u4S5hC1aWk,PT12M58S,2d,hd,FALSE,TRUE,rectangular
RGBK8133YAE,PT21M42S,2d,hd,FALSE,TRUE,rectangular
dq6G2YWoRqA,PT2M38S,2d,hd,TRUE,TRUE,rectangular
MMGrzOu1amQ,PT15M57S,2d,hd,FALSE,TRUE,rectangular
w5N2XLzit-E,PT22M45S,2d,hd,TRUE,TRUE,rectangular
kEec9_Z5dXw,PT7M12S,2d,hd,FALSE,TRUE,rectangular
8KT1UCsOE74,PT12M53S,2d,hd,FALSE,TRUE,rectangular
2oGjBA0OcO8,PT7M29S,2d,hd,FALSE,TRUE,rectangular
k1cA-Wh3Tc0,PT20M27S,2d,hd,FALSE,TRUE,rectangular
e1H0wbUQHwQ,PT11M53S,2d,hd,TRUE,TRUE,rectangular
B-CDErvATh0,PT2M7S,2d,hd,FALSE,TRUE,rectangular
2jNFymV3J-M,PT7M45S,2d,hd,FALSE,FALSE,rectangular
i6UcDD9KtXQ,PT45M54S,2d,hd,FALSE,TRUE,rectangular
LOFCVaHrZ4Y,PT4M12S,2d,hd,TRUE,TRUE,rectangular
1dwytOnCfIg,PT8M18S,2d,hd,FALSE,TRUE,rectangular
0J0KNjh4nAU,PT5M24S,2d,hd,TRUE,TRUE,rectangular
Xu7ycyZWPiw,PT3M30S,2d,hd,FALSE,TRUE,rectangular
N3rcUtXjTA8,PT3M30S,2d,hd,FALSE,FALSE,rectangular
PEv21CrTRSg,PT5M20S,2d,hd,TRUE,TRUE,rectangular
kvLeLgb5Wyo,PT38M3S,2d,hd,TRUE,TRUE,rectangular
rO7QRg88Rmc,PT10M4S,2d,hd,FALSE,TRUE,rectangular
IkQhv4qzbc4,PT2M29S,2d,hd,FALSE,FALSE,rectangular
NjWiiT74hB0,PT6M46S,2d,hd,FALSE,TRUE,rectangular
k_3rgt-h328,PT5M23S,2d,hd,FALSE,TRUE,rectangular
4c84Y7cdM9U,PT11M14S,2d,hd,TRUE,FALSE,rectangular
fx4TTAae-q4,PT7M26S,2d,hd,TRUE,TRUE,rectangular
hhtzBUFGfWM,PT20M16S,2d,hd,FALSE,TRUE,rectangular
RZ54XSb_4oU,PT19M40S,2d,hd,FALSE,FALSE,rectangular
qIYWOtX3IQc,PT9M10S,2d,hd,TRUE,TRUE,rectangular
2xtjlcWrCf0,PT19M23S,2d,hd,FALSE,FALSE,rectangular
6PUf1Rj4kpc,PT3M11S,2d,hd,FALSE,TRUE,rectangular
tO5eH6oRMfw,PT9M44S,2d,hd,TRUE,FALSE,rectangular
ZptISqiTxsQ,PT7M4S,2d,hd,FALSE,TRUE,rectangular
KTO2cZt1c-I,PT44M8S,2d,hd,FALSE,TRUE,rectangular
JYnNlHQzYTY,PT8M37S,2d,hd,FALSE,TRUE,rectangular
c-UH1QiCEC4,PT8M18S,2d,hd,FALSE,TRUE,rectangular
